Date,Sales
2021-04-25,74
2021-04-26,83
2021-04-27,78
2021-04-28,62
2021-04-29,98
2021-04-30,93
2021-05-01,94
2021-05-02,69
2021-05-03,105
2021-05-04,63
2021-05-05,94
2021-05-06,119
2021-05-07,72
2021-05-08,79
2021-05-09,90
2021-05-10,82
2021-05-11,67
2021-05-12,92
2021-05-13,76
2021-05-14,100
2021-05-15,80
2021-05-16,118
2021-05-17,84
2021-05-18,92
2021-05-19,110
2021-05-20,80
2021-05-21,103
2021-05-22,120
2021-05-23,77
2021-05-24,105
2021-05-25,107
2021-05-26,116
2021-05-27,86
2021-05-28,86
2021-05-29,114
2021-05-30,112
2021-05-31,112
2021-06-01,114
2021-06-02,100
2021-06-03,115
2021-06-04,116
2021-06-05,102
2021-06-06,142
2021-06-07,122
2021-06-08,98
2021-06-09,126
2021-06-10,103
2021-06-11,130
2021-06-12,137
2021-06-13,108
2021-06-14,135
2021-06-15,128
2021-06-16,135
2021-06-17,152
2021-06-18,121
2021-06-19,114
2021-06-20,113
2021-06-21,115
2021-06-22,127
2021-06-23,134
2021-06-24,134
2021-06-25,143
2021-06-26,131
2021-06-27,154
2021-06-28,129
2021-06-29,174
2021-06-30,144
2021-07-01,122
2021-07-02,120
2021-07-03,144
2021-07-04,134
2021-07-05,149
2021-07-06,146
2021-07-07,139
2021-07-08,128
2021-07-09,118
2021-07-10,135
2021-07-11,155
2021-07-12,147
2021-07-13,125
2021-07-14,147
2021-07-15,151
2021-07-16,133
2021-07-17,149
2021-07-18,148
2021-07-19,131
2021-07-20,154
2021-07-21,157
2021-07-22,166
2021-07-23,166
2021-07-24,130
2021-07-25,137
2021-07-26,160
2021-07-27,160
2021-07-28,161
2021-07-29,211
2021-07-30,162
2021-07-31,171
2021-08-01,169
2021-08-02,165
2021-08-03,151
2021-08-04,167
2021-08-05,145
2021-08-06,153
2021-08-07,150
2021-08-08,159
2021-08-09,193
2021-08-10,130
2021-08-11,169
2021-08-12,135
2021-08-13,152
2021-08-14,176
2021-08-15,161
2021-08-16,144
2021-08-17,150
2021-08-18,171
2021-08-19,150
2021-08-20,164
2021-08-21,162
2021-08-22,151
2021-08-23,194
2021-08-24,171
2021-08-25,131
2021-08-26,165
2021-08-27,152
2021-08-28,175
2021-08-29,150
2021-08-30,160
2021-08-31,170
2021-09-01,175
2021-09-02,144
2021-09-03,157
2021-09-04,155
2021-09-05,152
2021-09-06,188
2021-09-07,168
2021-09-08,143
2021-09-09,175
2021-09-10,193
2021-09-11,177
2021-09-12,139
2021-09-13,154
2021-09-14,180
2021-09-15,150
2021-09-16,167
2021-09-17,172
2021-09-18,146
2021-09-19,159
2021-09-20,111
2021-09-21,144
2021-09-22,155
2021-09-23,140
2021-09-24,183
2021-09-25,137
2021-09-26,151
2021-09-27,159
2021-09-28,179
2021-09-29,135
2021-09-30,174
2021-10-01,156
2021-10-02,141
2021-10-03,162
2021-10-04,158
2021-10-05,145
2021-10-06,155
2021-10-07,148
2021-10-08,154
2021-10-09,162
2021-10-10,176
2021-10-11,133
2021-10-12,183
2021-10-13,121
2021-10-14,147
2021-10-15,158
2021-10-16,153
2021-10-17,139
2021-10-18,144
2021-10-19,139
2021-10-20,137
2021-10-21,158
2021-10-22,150
2021-10-23,134
2021-10-24,157
2021-10-25,148
2021-10-26,154
2021-10-27,151
2021-10-28,128
2021-10-29,132
2021-10-30,151
2021-10-31,148
2021-11-01,138
2021-11-02,139
2021-11-03,156
2021-11-04,127
2021-11-05,143
2021-11-06,131
2021-11-07,130
2021-11-08,149
2021-11-09,145
2021-11-10,144
2021-11-11,150
2021-11-12,130
2021-11-13,139
2021-11-14,124
2021-11-15,132
2021-11-16,125
2021-11-17,127
2021-11-18,134
2021-11-19,112
2021-11-20,155
2021-11-21,108
2021-11-22,104
2021-11-23,139
2021-11-24,132
2021-11-25,129
2021-11-26,128
2021-11-27,118
2021-11-28,104
2021-11-29,117
2021-11-30,105
2021-12-01,129
2021-12-02,112
2021-12-03,101
2021-12-04,107
2021-12-05,118
2021-12-06,102
2021-12-07,97
2021-12-08,113
2021-12-09,112
2021-12-10,100
2021-12-11,100
2021-12-12,109
2021-12-13,83
2021-12-14,83
2021-12-15,93
2021-12-16,100
2021-12-17,107
2021-12-18,123
2021-12-19,113
2021-12-20,97
2021-12-21,99
2021-12-22,83
2021-12-23,97
2021-12-24,92
2021-12-25,101
2021-12-26,83
2021-12-27,102
2021-12-28,117
2021-12-29,92
2021-12-30,98
2021-12-31,102
2022-01-01,85
2022-01-02,94
2022-01-03,90
2022-01-04,90
2022-01-05,77
2022-01-06,88
2022-01-07,95
2022-01-08,108
2022-01-09,100
2022-01-10,118
2022-01-11,73
2022-01-12,97
2022-01-13,86
2022-01-14,116
2022-01-15,70
2022-01-16,69
2022-01-17,72
2022-01-18,49
2022-01-19,72
2022-01-20,68
2022-01-21,82
2022-01-22,84
2022-01-23,107
2022-01-24,92
2022-01-25,69
2022-01-26,64
2022-01-27,84
2022-01-28,57
2022-01-29,104
2022-01-30,93
2022-01-31,68
2022-02-01,49
2022-02-02,95
2022-02-03,73
2022-02-04,93
2022-02-05,50
2022-02-06,64
2022-02-07,73
2022-02-08,74
2022-02-09,66
2022-02-10,82
2022-02-11,56
2022-02-12,70
2022-02-13,74
2022-02-14,80
2022-02-15,82
2022-02-16,55
2022-02-17,48
2022-02-18,91
2022-02-19,76
2022-02-20,60
2022-02-21,94
2022-02-22,73
2022-02-23,89
2022-02-24,72
2022-02-25,102
2022-02-26,97
2022-02-27,67
2022-02-28,86
2022-03-01,81
2022-03-02,92
2022-03-03,57
2022-03-04,82
2022-03-05,87
2022-03-06,45
2022-03-07,54
2022-03-08,41
2022-03-09,68
2022-03-10,83
2022-03-11,95
2022-03-12,74
2022-03-13,98
2022-03-14,53
2022-03-15,48
2022-03-16,73
2022-03-17,80
2022-03-18,74
2022-03-19,44
2022-03-20,74
2022-03-21,56
2022-03-22,86
2022-03-23,82
2022-03-24,63
2022-03-25,69
2022-03-26,62
2022-03-27,77
2022-03-28,93
2022-03-29,64
2022-03-30,87
2022-03-31,72
2022-04-01,68
2022-04-02,79
2022-04-03,66
2022-04-04,74
2022-04-05,64
2022-04-06,112
2022-04-07,84
2022-04-08,74
2022-04-09,88
2022-04-10,84
2022-04-11,83
2022-04-12,96
2022-04-13,99
2022-04-14,80
2022-04-15,80
2022-04-16,85
2022-04-17,55
2022-04-18,68
2022-04-19,112
2022-04-20,117
2022-04-21,89
2022-04-22,102
2022-04-23,99
2022-04-24,141
2022-04-25,112
2022-04-26,94
2022-04-27,83
2022-04-28,74
2022-04-29,102
2022-04-30,88
2022-05-01,79
2022-05-02,91
2022-05-03,86
2022-05-04,128
2022-05-05,117
2022-05-06,104
2022-05-07,127
2022-05-08,107
2022-05-09,94
2022-05-10,131
2022-05-11,117
2022-05-12,94
2022-05-13,108
2022-05-14,98
2022-05-15,91
2022-05-16,127
2022-05-17,143
2022-05-18,94
2022-05-19,124
2022-05-20,107
2022-05-21,110
2022-05-22,110
2022-05-23,106
2022-05-24,121
2022-05-25,109
2022-05-26,126
2022-05-27,122
2022-05-28,120
2022-05-29,111
2022-05-30,117
2022-05-31,138
2022-06-01,135
2022-06-02,114
2022-06-03,131
2022-06-04,142
2022-06-05,106
2022-06-06,140
2022-06-07,123
2022-06-08,142
2022-06-09,123
2022-06-10,109
2022-06-11,112
2022-06-12,138
2022-06-13,142
2022-06-14,126
2022-06-15,150
2022-06-16,116
2022-06-17,141
2022-06-18,125
2022-06-19,134
2022-06-20,145
2022-06-21,132
2022-06-22,140
2022-06-23,162
2022-06-24,139
2022-06-25,161
2022-06-26,133
2022-06-27,158
2022-06-28,173
2022-06-29,115
2022-06-30,141
2022-07-01,162
2022-07-02,151
2022-07-03,161
2022-07-04,147
2022-07-05,158
2022-07-06,155
2022-07-07,176
2022-07-08,163
2022-07-09,165
2022-07-10,154
2022-07-11,154
2022-07-12,155
2022-07-13,168
2022-07-14,157
2022-07-15,168
2022-07-16,195
2022-07-17,178
2022-07-18,161
2022-07-19,184
2022-07-20,161
2022-07-21,137
2022-07-22,153
2022-07-23,140
2022-07-24,164
2022-07-25,170
2022-07-26,195
2022-07-27,176
2022-07-28,168
2022-07-29,184
2022-07-30,139
2022-07-31,176
2022-08-01,185
2022-08-02,151
2022-08-03,191
2022-08-04,179
2022-08-05,169
2022-08-06,185
2022-08-07,210
2022-08-08,179
2022-08-09,180
2022-08-10,170
2022-08-11,164
2022-08-12,190
2022-08-13,165
2022-08-14,179
2022-08-15,171
2022-08-16,185
2022-08-17,184
2022-08-18,194
2022-08-19,171
2022-08-20,175
2022-08-21,165
2022-08-22,173
2022-08-23,185
2022-08-24,191
2022-08-25,166
2022-08-26,193
2022-08-27,200
2022-08-28,186
2022-08-29,208
2022-08-30,169
2022-08-31,162
2022-09-01,154
2022-09-02,203
2022-09-03,190
2022-09-04,179
2022-09-05,184
2022-09-06,163
2022-09-07,217
2022-09-08,182
2022-09-09,182
2022-09-10,191
2022-09-11,187
2022-09-12,183
2022-09-13,168
2022-09-14,186
2022-09-15,207
2022-09-16,199
2022-09-17,203
2022-09-18,171
2022-09-19,163
2022-09-20,176
2022-09-21,178
2022-09-22,194
2022-09-23,152
2022-09-24,200
2022-09-25,174
2022-09-26,170
2022-09-27,161
2022-09-28,151
2022-09-29,187
2022-09-30,176
2022-10-01,155
2022-10-02,154
2022-10-03,168
2022-10-04,198
2022-10-05,169
2022-10-06,149
2022-10-07,168
2022-10-08,167
2022-10-09,130
2022-10-10,169
2022-10-11,166
2022-10-12,179
2022-10-13,196
2022-10-14,185
2022-10-15,163
2022-10-16,150
2022-10-17,205
2022-10-18,166
2022-10-19,165
2022-10-20,164
2022-10-21,167
2022-10-22,161
2022-10-23,154
2022-10-24,154
2022-10-25,161
2022-10-26,152
2022-10-27,149
2022-10-28,161
2022-10-29,155
2022-10-30,180
2022-10-31,117
2022-11-01,173
2022-11-02,174
2022-11-03,124
2022-11-04,149
2022-11-05,148
2022-11-06,132
2022-11-07,140
2022-11-08,135
2022-11-09,177
2022-11-10,164
2022-11-11,168
2022-11-12,159
2022-11-13,130
2022-11-14,139
2022-11-15,153
2022-11-16,127
2022-11-17,155
2022-11-18,140
2022-11-19,137
2022-11-20,152
2022-11-21,148
2022-11-22,135
2022-11-23,157
2022-11-24,122
2022-11-25,147
2022-11-26,146
2022-11-27,132
2022-11-28,140
2022-11-29,116
2022-11-30,148
2022-12-01,130
2022-12-02,124
2022-12-03,147
2022-12-04,120
2022-12-05,109
2022-12-06,106
2022-12-07,137
2022-12-08,108
2022-12-09,153
2022-12-10,94
2022-12-11,150
2022-12-12,127
2022-12-13,122
2022-12-14,114
2022-12-15,128
2022-12-16,120
2022-12-17,137
2022-12-18,121
2022-12-19,121
2022-12-20,112
2022-12-21,116
2022-12-22,121
2022-12-23,90
2022-12-24,95
2022-12-25,125
2022-12-26,116
2022-12-27,110
2022-12-28,112
2022-12-29,117
2022-12-30,103
2022-12-31,98
2023-01-01,112
2023-01-02,94
2023-01-03,114
2023-01-04,82
2023-01-05,122
2023-01-06,113
2023-01-07,109
2023-01-08,119
2023-01-09,129
2023-01-10,119
2023-01-11,75
2023-01-12,83
2023-01-13,92
2023-01-14,102
2023-01-15,108
2023-01-16,89
2023-01-17,102
2023-01-18,88
2023-01-19,89
2023-01-20,77
2023-01-21,84
2023-01-22,77
2023-01-23,82
2023-01-24,112
2023-01-25,82
2023-01-26,135
2023-01-27,102
2023-01-28,97
2023-01-29,81
2023-01-30,104
2023-01-31,85
2023-02-01,95
2023-02-02,131
2023-02-03,91
2023-02-04,110
2023-02-05,81
2023-02-06,91
2023-02-07,118
2023-02-08,82
2023-02-09,118
2023-02-10,101
2023-02-11,82
2023-02-12,100
2023-02-13,105
2023-02-14,99
2023-02-15,66
2023-02-16,79
2023-02-17,86
2023-02-18,88
2023-02-19,99
2023-02-20,92
2023-02-21,69
2023-02-22,95
2023-02-23,98
2023-02-24,98
2023-02-25,106
2023-02-26,102
2023-02-27,96
2023-02-28,88
2023-03-01,65
2023-03-02,96
2023-03-03,93
2023-03-04,94
2023-03-05,71
2023-03-06,74
2023-03-07,106
2023-03-08,90
2023-03-09,101
2023-03-10,91
2023-03-11,91
2023-03-12,105
2023-03-13,84
2023-03-14,93
2023-03-15,85
2023-03-16,86
2023-03-17,88
2023-03-18,96
2023-03-19,86
2023-03-20,112
2023-03-21,80
2023-03-22,91
2023-03-23,88
2023-03-24,117
2023-03-25,98
2023-03-26,111
2023-03-27,74
2023-03-28,101
2023-03-29,110
2023-03-30,99
2023-03-31,114
2023-04-01,91
2023-04-02,120
2023-04-03,134
2023-04-04,95
2023-04-05,94
2023-04-06,123
2023-04-07,125
2023-04-08,95
2023-04-09,97
2023-04-10,99
2023-04-11,84
2023-04-12,91
2023-04-13,90
2023-04-14,95
2023-04-15,106
2023-04-16,111
2023-04-17,131
2023-04-18,94
2023-04-19,124
2023-04-20,107
2023-04-21,110
2023-04-22,122
2023-04-23,96
2023-04-24,119
2023-04-25,116
2023-04-26,122
2023-04-27,120
2023-04-28,153
2023-04-29,107
2023-04-30,110
2023-05-01,109
2023-05-02,111
2023-05-03,111
2023-05-04,139
2023-05-05,143
2023-05-06,114
2023-05-07,111
2023-05-08,131
2023-05-09,117
2023-05-10,136
2023-05-11,130
2023-05-12,105
2023-05-13,152
2023-05-14,156
2023-05-15,121
2023-05-16,126
2023-05-17,136
2023-05-18,138
2023-05-19,144
2023-05-20,165
2023-05-21,133
2023-05-22,125
2023-05-23,117
2023-05-24,128
2023-05-25,139
2023-05-26,167
2023-05-27,133
2023-05-28,145
2023-05-29,143
2023-05-30,162
2023-05-31,183
2023-06-01,138
2023-06-02,139
2023-06-03,163
2023-06-04,159
2023-06-05,177
2023-06-06,159
2023-06-07,146
2023-06-08,161
2023-06-09,170
2023-06-10,166
2023-06-11,162
2023-06-12,172
2023-06-13,174
2023-06-14,178
2023-06-15,168
2023-06-16,157
2023-06-17,162
2023-06-18,179
2023-06-19,150
2023-06-20,168
2023-06-21,158
2023-06-22,165
2023-06-23,184
2023-06-24,169
2023-06-25,168
2023-06-26,147
2023-06-27,180
2023-06-28,179
2023-06-29,203
2023-06-30,166
2023-07-01,175
2023-07-02,176
2023-07-03,197
2023-07-04,173
2023-07-05,179
2023-07-06,185
2023-07-07,179
2023-07-08,170
2023-07-09,181
2023-07-10,195
2023-07-11,164
2023-07-12,182
2023-07-13,170
2023-07-14,199
2023-07-15,159
2023-07-16,174
2023-07-17,189
2023-07-18,207
2023-07-19,183
2023-07-20,177
2023-07-21,214
2023-07-22,164
2023-07-23,154
2023-07-24,194
2023-07-25,180
2023-07-26,173
2023-07-27,199
2023-07-28,193
2023-07-29,181
2023-07-30,171
2023-07-31,204
2023-08-01,201
2023-08-02,190
2023-08-03,220
2023-08-04,177
2023-08-05,170
2023-08-06,183
2023-08-07,193
2023-08-08,198
2023-08-09,191
2023-08-10,200
2023-08-11,176
2023-08-12,217
2023-08-13,195
2023-08-14,213
2023-08-15,201
2023-08-16,203
2023-08-17,205
2023-08-18,204
2023-08-19,207
2023-08-20,217
2023-08-21,201
2023-08-22,208
2023-08-23,197
2023-08-24,220
2023-08-25,188
2023-08-26,225
2023-08-27,198
2023-08-28,177
2023-08-29,200
2023-08-30,188
2023-08-31,211
2023-09-01,189
2023-09-02,192
2023-09-03,170
2023-09-04,192
2023-09-05,162
2023-09-06,175
2023-09-07,210
2023-09-08,210
2023-09-09,205
2023-09-10,184
2023-09-11,197
2023-09-12,198
2023-09-13,180
2023-09-14,220
2023-09-15,210
2023-09-16,194
2023-09-17,197
2023-09-18,200
2023-09-19,166
2023-09-20,192
2023-09-21,186
2023-09-22,181
2023-09-23,191
2023-09-24,222
2023-09-25,204
2023-09-26,186
2023-09-27,203
2023-09-28,215
2023-09-29,207
2023-09-30,194
2023-10-01,183
2023-10-02,203
2023-10-03,198
2023-10-04,205
2023-10-05,200
2023-10-06,206
2023-10-07,182
2023-10-08,209
2023-10-09,192
2023-10-10,219
2023-10-11,177
2023-10-12,213
2023-10-13,190
2023-10-14,176
2023-10-15,178
2023-10-16,180
2023-10-17,191
2023-10-18,192
2023-10-19,175
2023-10-20,182
2023-10-21,214
2023-10-22,207
2023-10-23,187
2023-10-24,181
2023-10-25,181
2023-10-26,188
2023-10-27,163
2023-10-28,174
2023-10-29,152
2023-10-30,182
2023-10-31,185
2023-11-01,167
2023-11-02,197
2023-11-03,155
2023-11-04,150
2023-11-05,175
2023-11-06,187
2023-11-07,195
2023-11-08,163
2023-11-09,185
2023-11-10,167
2023-11-11,165
2023-11-12,180
2023-11-13,175
2023-11-14,141
2023-11-15,186
2023-11-16,184
2023-11-17,153
2023-11-18,168
2023-11-19,168
2023-11-20,164
2023-11-21,151
2023-11-22,148
2023-11-23,157
2023-11-24,174
2023-11-25,164
2023-11-26,150
2023-11-27,166
2023-11-28,111
2023-11-29,170
2023-11-30,126
2023-12-01,146
2023-12-02,134
2023-12-03,130
2023-12-04,166
2023-12-05,141
2023-12-06,152
2023-12-07,146
2023-12-08,153
2023-12-09,146
2023-12-10,125
2023-12-11,158
2023-12-12,135
2023-12-13,118
2023-12-14,134
2023-12-15,163
2023-12-16,152
2023-12-17,133
2023-12-18,132
2023-12-19,132
2023-12-20,167
2023-12-21,141
2023-12-22,141
2023-12-23,149
2023-12-24,137
2023-12-25,129
2023-12-26,129
2023-12-27,130
2023-12-28,130
2023-12-29,141
2023-12-30,130
2023-12-31,139
2024-01-01,126
2024-01-02,128
2024-01-03,96
2024-01-04,139
2024-01-05,130
2024-01-06,139
2024-01-07,80
2024-01-08,154
2024-01-09,120
2024-01-10,138
2024-01-11,106
2024-01-12,130
2024-01-13,104
2024-01-14,110
2024-01-15,148
2024-01-16,116
2024-01-17,121
2024-01-18,130
2024-01-19,124
2024-01-20,119
2024-01-21,121
2024-01-22,151
2024-01-23,114
2024-01-24,118
2024-01-25,130
2024-01-26,130
2024-01-27,131
2024-01-28,122
2024-01-29,95
2024-01-30,137
2024-01-31,95
2024-02-01,116
2024-02-02,100
2024-02-03,110
2024-02-04,115
2024-02-05,115
2024-02-06,116
2024-02-07,134
2024-02-08,116
2024-02-09,106
2024-02-10,124
2024-02-11,127
2024-02-12,90
2024-02-13,117
2024-02-14,119
2024-02-15,104
2024-02-16,129
2024-02-17,106
2024-02-18,110
2024-02-19,105
2024-02-20,108
2024-02-21,91
2024-02-22,86
2024-02-23,131
2024-02-24,95
2024-02-25,93
2024-02-26,75
2024-02-27,98
2024-02-28,88
2024-02-29,132
2024-03-01,123
2024-03-02,98
2024-03-03,142
2024-03-04,123
2024-03-05,103
2024-03-06,71
2024-03-07,143
2024-03-08,88
2024-03-09,84
2024-03-10,124
2024-03-11,146
2024-03-12,130
2024-03-13,118
2024-03-14,119
2024-03-15,123
2024-03-16,122
2024-03-17,115
2024-03-18,113
2024-03-19,111
2024-03-20,101
2024-03-21,108
2024-03-22,87
2024-03-23,112
2024-03-24,99
2024-03-25,97
2024-03-26,117
2024-03-27,136
2024-03-28,129
2024-03-29,92
2024-03-30,101
2024-03-31,131
2024-04-01,103
2024-04-02,114
2024-04-03,127
2024-04-04,104
2024-04-05,121
2024-04-06,100
2024-04-07,112
2024-04-08,126
2024-04-09,98
2024-04-10,129
2024-04-11,123
2024-04-12,132
2024-04-13,128
2024-04-14,145
2024-04-15,128
2024-04-16,120
2024-04-17,129
2024-04-18,136
2024-04-19,129
2024-04-20,130
2024-04-21,119
2024-04-22,121
2024-04-23,110
2024-04-24,158
2024-04-25,114
2024-04-26,123
2024-04-27,124
2024-04-28,149
2024-04-29,132
2024-04-30,156
2024-05-01,128
2024-05-02,143
2024-05-03,127
2024-05-04,172
2024-05-05,123
2024-05-06,146
2024-05-07,152
2024-05-08,150
2024-05-09,142
2024-05-10,143
2024-05-11,147
2024-05-12,145
2024-05-13,162
2024-05-14,182
2024-05-15,141
2024-05-16,130
2024-05-17,150
2024-05-18,191
2024-05-19,141
2024-05-20,179
2024-05-21,180
2024-05-22,148
2024-05-23,165
2024-05-24,182
2024-05-25,153
2024-05-26,156
2024-05-27,152
2024-05-28,146
2024-05-29,152
2024-05-30,145
2024-05-31,165
2024-06-01,153
2024-06-02,169
2024-06-03,143
2024-06-04,173
2024-06-05,181
2024-06-06,140
2024-06-07,176
2024-06-08,190
2024-06-09,154
2024-06-10,198
2024-06-11,180
2024-06-12,164
2024-06-13,175
2024-06-14,185
2024-06-15,179
2024-06-16,186
2024-06-17,165
2024-06-18,183
2024-06-19,160
2024-06-20,180
2024-06-21,169
2024-06-22,172
2024-06-23,203
2024-06-24,201
2024-06-25,195
2024-06-26,170
2024-06-27,183
2024-06-28,207
2024-06-29,191
2024-06-30,225
2024-07-01,197
2024-07-02,194
2024-07-03,188
2024-07-04,195
2024-07-05,191
2024-07-06,205
2024-07-07,210
2024-07-08,184
2024-07-09,177
2024-07-10,170
2024-07-11,206
2024-07-12,182
2024-07-13,167
2024-07-14,206
2024-07-15,238
2024-07-16,201
2024-07-17,215
2024-07-18,204
2024-07-19,202
2024-07-20,218
2024-07-21,200
2024-07-22,209
2024-07-23,210
2024-07-24,196
2024-07-25,221
2024-07-26,204
2024-07-27,196
2024-07-28,216
2024-07-29,195
2024-07-30,209
2024-07-31,209
2024-08-01,226
2024-08-02,218
2024-08-03,210
2024-08-04,224
2024-08-05,232
2024-08-06,220
2024-08-07,213
2024-08-08,193
2024-08-09,197
2024-08-10,209
2024-08-11,205
2024-08-12,211
2024-08-13,215
2024-08-14,222
2024-08-15,214
2024-08-16,222
2024-08-17,216
2024-08-18,186
2024-08-19,202
2024-08-20,214
2024-08-21,198
2024-08-22,225
2024-08-23,239
2024-08-24,235
2024-08-25,213
2024-08-26,239
2024-08-27,219
2024-08-28,212
2024-08-29,208
2024-08-30,212
2024-08-31,211
2024-09-01,219
2024-09-02,219
2024-09-03,217
2024-09-04,223
2024-09-05,235
2024-09-06,231
2024-09-07,194
2024-09-08,178
2024-09-09,230
2024-09-10,196
2024-09-11,213
2024-09-12,198
2024-09-13,189
2024-09-14,224
2024-09-15,227
2024-09-16,206
2024-09-17,176
2024-09-18,206
2024-09-19,220
2024-09-20,192
2024-09-21,217
2024-09-22,213
2024-09-23,222
2024-09-24,215
2024-09-25,198
2024-09-26,230
2024-09-27,209
2024-09-28,211
2024-09-29,197
2024-09-30,204
2024-10-01,197
2024-10-02,207
2024-10-03,235
2024-10-04,188
2024-10-05,184
2024-10-06,230
2024-10-07,204
2024-10-08,197
2024-10-09,222
2024-10-10,197
2024-10-11,233
2024-10-12,215
2024-10-13,197
2024-10-14,236
2024-10-15,194
2024-10-16,214
2024-10-17,207
2024-10-18,221
2024-10-19,224
2024-10-20,201
2024-10-21,188
2024-10-22,206
2024-10-23,188
2024-10-24,228
2024-10-25,199
2024-10-26,191
2024-10-27,198
2024-10-28,175
2024-10-29,180
2024-10-30,212
2024-10-31,183
2024-11-01,176
2024-11-02,199
2024-11-03,208
2024-11-04,201
2024-11-05,204
2024-11-06,177
2024-11-07,166
2024-11-08,209
2024-11-09,181
2024-11-10,182
2024-11-11,205
2024-11-12,192
2024-11-13,190
2024-11-14,215
2024-11-15,172
2024-11-16,195
2024-11-17,181
2024-11-18,183
2024-11-19,201
2024-11-20,185
2024-11-21,185
2024-11-22,192
2024-11-23,170
2024-11-24,162
2024-11-25,158
2024-11-26,143
2024-11-27,203
2024-11-28,154
2024-11-29,167
2024-11-30,165
2024-12-01,173
2024-12-02,180
2024-12-03,180
2024-12-04,157
2024-12-05,163
2024-12-06,169
2024-12-07,160
2024-12-08,187
2024-12-09,170
2024-12-10,172
2024-12-11,171
2024-12-12,177
2024-12-13,162
2024-12-14,139
2024-12-15,163
2024-12-16,147
2024-12-17,148
2024-12-18,164
2024-12-19,173
2024-12-20,154
2024-12-21,158
2024-12-22,178
2024-12-23,155
2024-12-24,190
2024-12-25,158
2024-12-26,123
2024-12-27,160
2024-12-28,154
2024-12-29,167
2024-12-30,157
2024-12-31,144
